Title,Year,Votes,Rank,run time
The Avengers,2012,1003267,8,90
Inglourious Basterds,2009,892794,8.3,153
V for Vendetta,2005,797250,8.1,132
The Green Mile,1999,789962,8.5,189
Terminator 2: Judgment Day,1991,750100,8.5,137
One Flew Over the Cuckoo's Nest,1975,684304,8.7,133
Reservoir Dogs,1992,669574,8.3,99
Raiders of the Lost Ark,1981,665127,8.5,115
Sin City,2005,659802,8,124
Toy Story,1995,628822,8.3,81
A Beautiful Mind,2001,615489,8.2,135
Donnie Darko,2001,584616,8,113
Requiem for a Dream,2000,577466,8.3,102
Star Wars: Episode VII - The Force Awakens,2015,577060,8.1,138
Gran Torino,2008,565019,8.1,116
A Clockwork Orange,1971,562493,8.3,136
Mad Max: Fury Road,2015,562190,8.1,120
Harry Potter and the Deathly Hallows: Part,2011,547097,8,#N/A
Catch Me If You Can,2002,531904,8,106
Taxi Driver,1976,511001,8.3,133
The King's Speech,2010,507297,8,118
The Pianist,2002,502327,8.5,112
Deadpool,2016,500214,8,108
How to Train Your Dragon,2010,489276,8.1,98
The Martian,2015,485733,8,144
Fargo,1996,457576,8.1,69
Groundhog Day,1993,440498,8,101
Into the Wild,2007,429607,8.1,
Sen to Chihiro no kamikakushi,2001,422039,8.5,
Jaws,1975,415425,8,
Rocky,1976,378174,8,
Oldeuboi,2003,359169,8.4,
Casino,1995,335994,8.2,
The Princess Bride,1987,296022,8.1,
The Wizard of Oz,1939,293559,8,
Platoon,1986,293371,8.1,
Unforgiven,1992,279321,8.2,
It's a Wonderful Life,1946,277548,8.6,
Life of Brian,1979,274247,8.1,
Stand by Me,1986,274151,8.1,
Amadeus,1984,272592,8.3,
Hotel Rwanda,2004,266056,8.1,
The Thing,1982,260168,8.1,
Once Upon a Time in America,1984,222576,8.4,
Chinatown,1974,217577,8.2,
C'era una volta il West,1968,217482,8.5,
Gone with the Wind,1939,216606,8.1,
3 Idiots,2009,210935,8.3,
Annie Hall,1977,194407,8.1,
Gandhi,1982,172849,8,
The Great Escape,1963,166730,8.2,
The Elephant Man,1980,163014,8.2,
Ben-Hur,1959,162481,8.1,
Butch Cassidy and the Sundance Kid,1969,153192,8.1,
Jodaeiye Nader az Simin,2011,153086,8.3,
Hotaru no haka,1988,139953,8.4,
Cool Hand Luke,1967,120699,8.1,
The Maltese Falcon,1941,113947,8.1,
Dial M for Murder,1954,107358,8.1,
Rash̫mon,1950,103384,8.3,
Barry Lyndon,1975,102431,8,
Tenk�� no shiro Rapyuta,1986,100365,8,
Strangers on a Train,1951,97078,8,
Mou gaan dou,2002,92342,8,
Relatos salvajes,2014,91794,8.1,
Rebecca,1940,88052,8.1,
High Noon,1952,80628,8,
The Treasure of the Sierra Madre,1948,79813,8.2,
Ran,1985,78316,8.2,
Y̫jinb̫,1961,74581,8.2,
Touch of Evil,1958,73397,8.1,
Stalker,1979,69016,8.1,
The Grapes of Wrath,1940,63643,8.1,
Persona,1966,62272,8.1,
Gangs of Wasseypur,2012,46777,8,
Fanny och Alexander,1982,43657,8,
The Best Years of Our Lives,1946,40603,8,
Kahaani,2012,38946,8,
La battaglia di Algeri,1966,37592,8,
Le salaire de la peur,1953,35694,8.1,
1 - Nenokkadine,2014,35077,7.9,
Kumonosu-j̫,1957,32218,8,
T̫ky̫ monogatari,1953,27022,8.1,
Thuppakki,2012,16059,7.6,
i,2015,12890,7.3,
Magadheera,2009,9765,7.6,
Dookudu,2011,9386,7.5,
Nisshartho Bhalobasha: What is Love!,2013,7931,7.5,
Anbe Sivam,2003,6438,8.7,
Thani Oruvan,2015,6228,8.5,
Atharintiki Daaredi,2013,5959,7.2,
Ayan,2009,5070,7.2,
Yevadu,2014,4623,5.6,
Billa,2007,4608,7.3,
Jigarthanda,2014,4484,8.3,
Jalsa,2008,4324,7.2,
Vaaranam Aayiram,2008,4073,7.9,
Kochadaiiyaan,2014,4054,6.6,
Vettaiyaadu Vilaiyaadu,2006,3876,7.8,
Singam,2010,3472,6.7,
Chandramukhi,2005,3433,7,
Vedalam,2015,3239,6.4,
Kaavalan,2011,3210,7,
Vinnaithaandi Varuvaayaa,2010,2946,7.8,
Gopala Gopala,2015,2785,7.3,
Sachein,2005,2588,6.9,
Aagadu,2014,2462,6,
Aadukalam,2011,2384,7.8,
Thattathin Marayathu,2012,2283,7.4,
Brindaavanam,2010,2269,7.2,
Arya,2004,2252,7.8,
Vikramarkudu,2006,2219,7.6,
Masss,2015,2167,6.5,
Mayakkam Enna,2011,2110,7.5,
Pranchiyettan and the Saint,2010,1896,8,
Anegan,2015,1893,7,
Naayak,2013,1878,6,
Aayirathil Oruvan,2010,1847,7.4,
Paiyaa,2010,1753,6.5,
Varalaaru,2006,1741,7.1,
Simhadri,2003,1711,7.4,
Janatha Garage,2016,1672,7.3,
Gandu,2010,1556,6.4,
Kushi,2000,1465,7.3,
Ye Maaya Chesave,2010,1464,7.6,
